#number of points averaged per size parameter = 4999
#   x        qext          qsca q         back            gsca           qp180
0.2120  -0.105240269    0.005127789    0.007316104    0.023075821    0.113537632
0.2130  -0.106091374    0.005228028    0.007456329    0.023242493    0.113495154
0.2140  -0.106947761    0.005329773    0.007598600    0.023408814    0.113452751
0.2150  -0.107809459    0.005433039    0.007742937    0.023574765    0.113410429
0.2160  -0.108676501    0.005537845    0.007889362    0.023740326    0.113368193
0.2170  -0.109548915    0.005644205    0.008037896    0.023905475    0.113326048
0.2180  -0.110426732    0.005752137    0.008188563    0.024070193    0.113283998
0.2190  -0.111309983    0.005861658    0.008341383    0.024234456    0.113242049
0.2200  -0.112198698    0.005972785    0.008496380    0.024398245    0.113200206
0.2210  -0.113092908    0.006085534    0.008653576    0.024561538    0.113158474
0.2220  -0.113992643    0.006199922    0.008812993    0.024724313    0.113116858
0.2230  -0.114897933    0.006315968    0.008974656    0.024886548    0.113075364
0.2240  -0.115808809    0.006433689    0.009138586    0.025048222    0.113033996
0.2250  -0.116725301    0.006553101    0.009304807    0.025209311    0.112992761
0.2260  -0.117647440    0.006674224    0.009473343    0.025369794    0.112951663
0.2270  -0.118575255    0.006797074    0.009644218    0.025529648    0.112910708
0.2280  -0.119508778    0.006921670    0.009817455    0.025688850    0.112869901
0.2290  -0.120448038    0.007048030    0.009993078    0.025847376    0.112829249
0.2300  -0.121393065    0.007176171    0.010171113    0.026005204    0.112788756
0.2310  -0.122343890    0.007306113    0.010351583    0.026162311    0.112748428
0.2320  -0.123300543    0.007437874    0.010534513    0.026318672    0.112708270
0.2330  -0.124263053    0.007571473    0.010719930    0.026474264    0.112668289
0.2340  -0.125231452    0.007706928    0.010907856    0.026629063    0.112628491
0.2350  -0.126205767    0.007844258    0.011098319    0.026783044    0.112588880
0.2360  -0.127186031    0.007983482    0.011291344    0.026936183    0.112549463
0.2370  -0.128172271    0.008124620    0.011486957    0.027088456    0.112510246
0.2380  -0.129164519    0.008267691    0.011685184    0.027239837    0.112471235
0.2390  -0.130162803    0.008412714    0.011886052    0.027390302    0.112432435
0.2400  -0.131167153    0.008559709    0.012089587    0.027539826    0.112393853
0.2410  -0.132177599    0.008708696    0.012295815    0.027688382    0.112355495
0.2420  -0.133194169    0.008859695    0.012504765    0.027835946    0.112317366
0.2430  -0.134216894    0.009012726    0.012716464    0.027982491    0.112279474
0.2440  -0.135245801    0.009167808    0.012930940    0.028127992    0.112241824
0.2450  -0.136280921    0.009324963    0.013148219    0.028272422    0.112204422
0.2460  -0.137322281    0.009484210    0.013368332    0.028415755    0.112167275
0.2470  -0.138369911    0.009645572    0.013591305    0.028557964    0.112130389
0.2480  -0.139423839    0.009809067    0.013817168    0.028699023    0.112093771
0.2490  -0.140484094    0.009974718    0.014045950    0.028838904    0.112057427
0.2500  -0.141550704    0.010142545    0.014277681    0.028977580    0.112021363
0.2510  -0.142623697    0.010312570    0.014512389    0.029115024    0.111985586
0.2520  -0.143703101    0.010484814    0.014750104    0.029251209    0.111950103
0.2530  -0.144788944    0.010659299    0.014990858    0.029386105    0.111914920
0.2540  -0.145881253    0.010836046    0.015234680    0.029519686    0.111880044
0.2550  -0.146980056    0.011015078    0.015481601    0.029651923    0.111845481
0.2560  -0.148085380    0.011196416    0.015731653    0.029782788    0.111811239
0.2570  -0.149197252    0.011380083    0.015984866    0.029912252    0.111777324
0.2580  -0.150315700    0.011566101    0.016241272    0.030040286    0.111743743
