#1000 pts per wavenumber up to wavenumber=2000
#100 pts per wavenumber after wavenumber=2000
#x   qext   qsca   qback   gsca   p180
299.0   2.0704   2.0704   1.2124   0.0000   0.0466
300.0   2.0646   2.0646   1.3346   0.0000   0.0514
301.0   2.0500   2.0500   1.7618   0.0000   0.0684
302.0   2.0340   2.0340   1.7031   0.0000   0.0666
303.0   2.0219   2.0219   2.0291   0.0000   0.0799
304.0   2.0194   2.0194   1.6487   0.0000   0.0650
305.0   2.0270   2.0270   2.0308   0.0000   0.0797
306.0   2.0416   2.0416   1.7923   0.0000   0.0699
307.0   2.0577   2.0577   2.1863   0.0000   0.0845
308.0   2.0676   2.0676   1.5700   0.0000   0.0604
309.0   2.0671   2.0671   1.5806   0.0000   0.0608
310.0   2.0559   2.0559   1.2330   0.0000   0.0477
311.0   2.0403   2.0403   1.5736   0.0000   0.0614
312.0   2.0254   2.0254   1.5445   0.0000   0.0607
313.0   2.0189   2.0189   1.3261   0.0000   0.0523
314.0   2.0222   2.0222   1.4902   0.0000   0.0586
315.0   2.0344   2.0344   1.4260   0.0000   0.0558
316.0   2.0501   2.0501   2.0209   0.0000   0.0784
317.0   2.0629   2.0629   1.8373   0.0000   0.0709
318.0   2.0669   2.0669   2.0582   0.0000   0.0792
319.0   2.0603   2.0603   1.7001   0.0000   0.0657
320.0   2.0465   2.0465   2.0641   0.0000   0.0803
321.0   2.0307   2.0307   1.7830   0.0000   0.0699
322.0   2.0205   2.0205   1.8812   0.0000   0.0741
323.0   2.0192   2.0192   1.4506   0.0000   0.0572
324.0   2.0277   2.0277   1.3482   0.0000   0.0529
325.0   2.0423   2.0423   1.3853   0.0000   0.0540
326.0   2.0570   2.0570   1.4184   0.0000   0.0549
327.0   2.0652   2.0652   1.7820   0.0000   0.0687
328.0   2.0630   2.0630   1.4049   0.0000   0.0542
329.0   2.0518   2.0518   1.6444   0.0000   0.0638
330.0   2.0364   2.0364   1.6730   0.0000   0.0654
331.0   2.0237   2.0237   2.0896   0.0000   0.0822
332.0   2.0185   2.0185   2.1088   0.0000   0.0831
333.0   2.0231   2.0231   1.9087   0.0000   0.0751
334.0   2.0349   2.0349   1.8362   0.0000   0.0718
335.0   2.0497   2.0497   1.8144   0.0000   0.0704
336.0   2.0612   2.0612   1.9752   0.0000   0.0763
337.0   2.0640   2.0640   1.5492   0.0000   0.0597
338.0   2.0565   2.0565   1.4810   0.0000   0.0573
339.0   2.0424   2.0424   1.2537   0.0000   0.0488
340.0   2.0278   2.0278   1.4618   0.0000   0.0574
341.0   2.0191   2.0191   1.4825   0.0000   0.0584
342.0   2.0201   2.0201   1.6958   0.0000   0.0668
343.0   2.0289   2.0289   1.5705   0.0000   0.0616
344.0   2.0427   2.0427   1.5981   0.0000   0.0623
345.0   2.0554   2.0554   1.9836   0.0000   0.0768
346.0   2.0624   2.0624   2.0733   0.0000   0.0800
347.0   2.0596   2.0596   2.2463   0.0000   0.0868
