#number of points averaged per size parameter = 4999
#   x       qext           qsca q          back             gsca            qp180
0.1390  -0.1022120171    0.0007960882    0.0011778510    0.0061805210    0.1177387290
0.1400  -0.1030256389    0.0008194844    0.0012122320    0.0062672246    0.1177159082
0.1410  -0.1038408656    0.0008433981    0.0012473631    0.0063544727    0.1176929442
0.1420  -0.1046577065    0.0008678368    0.0012832554    0.0064422637    0.1176698375
0.1430  -0.1054761711    0.0008928086    0.0013199198    0.0065305956    0.1176465885
0.1440  -0.1062962686    0.0009183212    0.0013573676    0.0066194667    0.1176231979
0.1450  -0.1071180085    0.0009443829    0.0013956100    0.0067088750    0.1175996659
0.1460  -0.1079414000    0.0009710016    0.0014346582    0.0067988188    0.1175759932
0.1470  -0.1087664524    0.0009981854    0.0014745237    0.0068892962    0.1175521802
0.1480  -0.1095931750    0.0010259427    0.0015152181    0.0069803052    0.1175282274
0.1490  -0.1104215769    0.0010542816    0.0015567527    0.0070718440    0.1175041353
0.1500  -0.1112516675    0.0010832105    0.0015991393    0.0071639105    0.1174799044
0.1510  -0.1120834559    0.0011127379    0.0016423897    0.0072565029    0.1174555353
0.1520  -0.1129169512    0.0011428722    0.0016865157    0.0073496192    0.1174310284
0.1530  -0.1137521626    0.0011736220    0.0017315292    0.0074432574    0.1174063843
0.1540  -0.1145890992    0.0012049959    0.0017774422    0.0075374154    0.1173816035
0.1550  -0.1154277701    0.0012370027    0.0018242668    0.0076320912    0.1173566864
0.1560  -0.1162681843    0.0012696511    0.0018720152    0.0077272829    0.1173316338
0.1570  -0.1171103509    0.0013029499    0.0019206996    0.0078229883    0.1173064460
0.1580  -0.1179542789    0.0013369081    0.0019703325    0.0079192053    0.1172811236
0.1590  -0.1187999773    0.0013715346    0.0020209263    0.0080159319    0.1172556673
0.1600  -0.1196474551    0.0014068385    0.0020724934    0.0081131658    0.1172300774
0.1610  -0.1204967212    0.0014428290    0.0021250466    0.0082109051    0.1172043547
0.1620  -0.1213477845    0.0014795152    0.0021785986    0.0083091475    0.1171784996
0.1630  -0.1222006539    0.0015169064    0.0022331621    0.0084078908    0.1171525127
0.1640  -0.1230553383    0.0015550120    0.0022887501    0.0085071329    0.1171263945
0.1650  -0.1239118466    0.0015938413    0.0023453755    0.0086068714    0.1171001458
0.1660  -0.1247701875    0.0016334040    0.0024030515    0.0087071043    0.1170737670
0.1670  -0.1256303699    0.0016737095    0.0024617911    0.0088078292    0.1170472587
0.1680  -0.1264924025    0.0017147676    0.0025216077    0.0089090438    0.1170206215
0.1690  -0.1273562942    0.0017565878    0.0025825146    0.0090107458    0.1169938561
